Tm,R/G,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
ARI,4.40,6106,23178,3.80,14317,62.1%,27.8%,15.0%,26.4%,30.7%,72.2%,1.5%,44.8%,79.2%,26.8%,5.5%,335,24,14.6%,893,364,8.7%,533,302,295,810,26.6%,-5,0,0
ATL,5.00,6384,23996,3.76,14999,62.9%,24.8%,16.4%,27.8%,30.9%,75.2%,1.6%,47.3%,78.2%,32.3%,5.1%,326,22,14.5%,923,396,9.1%,579,333,289,852,25.2%,-10,0,0
BAL,4.67,6283,23319,3.71,14813,63.8%,27.9%,12.3%,27.6%,32.3%,72.1%,1.2%,46.0%,83.0%,27.1%,5.1%,320,13,14.4%,906,346,8.6%,541,288,250,689,26.6%,-19,0,0
BOS,5.35,6436,25351,3.94,15371,61.1%,30.5%,12.7%,26.7%,30.1%,69.5%,1.8%,42.5%,81.8%,23.8%,5.7%,368,23,16.0%,1030,365,10.8%,696,377,283,757,27.2%,-10,0,0
CHC,4.64,6277,23430,3.73,14866,63.9%,26.2%,14.8%,27.6%,31.4%,73.8%,2.0%,47.2%,80.0%,29.7%,4.9%,305,20,13.4%,838,334,8.0%,505,298,251,796,23.8%,-9,0,0
CHW,4.28,6124,23571,3.85,14906,63.6%,27.6%,15.0%,28.1%,29.3%,72.4%,1.4%,46.0%,79.3%,25.9%,4.9%,302,18,14.7%,903,322,9.3%,568,305,293,855,25.5%,-21,0,0
CIN,4.83,6342,23645,3.73,14898,63.5%,25.9%,15.4%,27.7%,31.0%,74.1%,2.0%,47.0%,79.2%,30.7%,4.7%,295,16,14.6%,924,392,8.8%,558,338,273,835,24.5%,-10,0,0
CLE,5.01,6380,25102,3.93,15418,61.9%,28.2%,14.7%,28.0%,29.2%,71.8%,2.0%,44.4%,79.5%,24.7%,5.4%,342,30,15.1%,963,397,9.3%,594,354,279,922,23.2%,-13,0,0
COL,5.28,6506,25168,3.87,15693,62.8%,26.9%,14.1%,29.2%,29.7%,73.1%,1.9%,45.9%,80.7%,29.8%,5.0%,325,28,14.3%,930,345,8.9%,582,299,349,790,30.3%,-8,0,0
DET,5.48,6373,23734,3.72,15032,63.8%,25.2%,15.4%,27.6%,31.8%,74.8%,1.9%,47.7%,79.5%,27.7%,4.5%,285,14,14.2%,908,384,8.2%,522,328,208,846,19.7%,-9,0,0
FLA,4.88,6354,23727,3.73,14873,63.1%,24.9%,18.8%,26.7%,29.6%,75.1%,1.8%,47.4%,75.0%,32.4%,4.6%,293,24,13.3%,847,360,8.6%,544,317,345,978,25.9%,-10,0,0
HOU,4.46,6334,23909,3.77,15015,63.2%,25.0%,14.5%,29.4%,31.2%,75.0%,1.6%,47.4%,80.7%,31.0%,5.0%,319,38,14.6%,923,368,8.6%,546,308,267,771,25.6%,-10,0,0
KCR,4.36,6158,22461,3.65,14343,64.2%,24.5%,15.5%,28.2%,31.8%,75.5%,1.4%,48.4%,79.4%,32.1%,4.2%,258,26,12.5%,769,334,7.5%,462,265,254,813,23.8%,-18,0,0
LAA,5.07,6219,22707,3.65,14309,63.5%,27.0%,13.6%,26.1%,33.3%,73.0%,2.2%,46.4%,81.4%,27.2%,5.0%,313,30,14.5%,902,350,8.1%,503,243,190,693,21.5%,-21,0,0
