Tm,R/G,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
ARI,4.40,6196,24783,4.00,15289,62.1%,28.8%,18.6%,26.2%,26.3%,71.2%,1.7%,44.2%,73.8%,24.1%,5.4%,334,42,15.9%,983,412,9.8%,610,335,360,1165,23.5%,-13,0,0
ATL,4.56,6264,24291,3.88,14880,61.7%,29.2%,14.5%,26.6%,29.8%,70.8%,1.8%,43.7%,79.5%,25.4%,5.7%,358,16,16.5%,1032,377,10.6%,662,353,297,837,26.1%,-12,0,0
BAL,3.78,6122,22672,3.70,14593,64.7%,26.9%,14.6%,27.2%,31.4%,73.1%,1.3%,47.3%,80.0%,28.5%,4.1%,254,16,12.7%,775,293,8.3%,511,310,249,807,23.6%,-13,0,0
BOS,5.05,6358,25540,4.02,15715,61.9%,31.3%,12.6%,26.9%,29.2%,68.7%,1.6%,42.6%,81.6%,20.7%,5.1%,322,16,15.9%,1008,408,10.4%,663,366,326,812,28.6%,-2,0,0
CHC,4.23,6150,23269,3.78,14847,64.1%,26.6%,16.4%,27.5%,29.5%,73.4%,1.4%,47.1%,77.6%,30.0%,4.3%,267,11,13.7%,840,356,8.3%,511,286,268,963,21.7%,-10,0,0
CHW,4.64,6154,23080,3.75,14583,63.4%,27.6%,13.1%,27.4%,31.9%,72.4%,0.9%,45.9%,81.8%,25.5%,5.3%,324,3,15.0%,925,326,9.1%,558,285,194,727,21.0%,-36,0,0
CIN,4.88,6296,23431,3.72,14839,63.6%,25.8%,17.1%,27.0%,30.2%,74.2%,1.3%,47.2%,77.0%,31.1%,4.5%,284,15,13.1%,826,323,7.9%,499,273,273,941,22.4%,-11,0,0
CLE,3.99,6174,23791,3.85,14938,63.1%,29.2%,15.2%,26.3%,29.3%,70.8%,1.5%,44.7%,78.5%,25.2%,4.8%,298,6,14.1%,870,332,8.3%,514,275,290,893,24.5%,-9,0,0
COL,4.75,6276,24248,3.86,15202,63.2%,27.6%,16.6%,27.1%,28.7%,72.4%,2.0%,45.7%,77.0%,27.6%,5.4%,336,19,14.7%,924,307,9.4%,589,292,314,951,24.6%,-11,0,0
DET,4.64,6328,23983,3.79,15065,63.3%,24.5%,15.3%,29.8%,30.4%,75.5%,2.1%,47.8%,79.7%,29.4%,4.4%,278,9,13.5%,854,387,7.6%,483,289,293,853,25.5%,-16,0,0
FLA,4.44,6204,24247,3.91,15272,63.4%,28.9%,17.1%,26.3%,27.8%,71.1%,1.6%,45.1%,76.0%,25.1%,5.1%,316,15,14.8%,917,352,9.2%,571,313,347,1024,25.2%,-10,0,0
HOU,3.77,6013,22568,3.75,14452,64.3%,28.3%,14.2%,26.1%,31.4%,71.7%,1.1%,46.1%,80.2%,27.1%,4.5%,270,15,13.8%,827,311,8.4%,508,260,237,787,23.1%,-8,0,0
KCR,4.17,6222,23227,3.73,14712,63.6%,30.2%,11.5%,25.7%,32.6%,69.8%,0.9%,44.4%,83.5%,22.3%,4.7%,294,12,14.2%,881,334,8.5%,530,284,221,683,24.4%,-13,0,0
LAA,4.20,6108,23323,3.82,14730,63.4%,30.8%,13.7%,24.9%,30.6%,69.2%,1.2%,43.9%,80.2%,21.1%,4.9%,300,32,14.6%,894,338,8.7%,533,295,257,813,24.0%,-19,0,0
